# Format:
# section | text | source | effective_date

General Intake Playbook | Start with a factual summary, identify parties, location, timeline, loss, evidence, and desired outcome before discussing remedies. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Documents | Basic supporting records include agreements, payment records, messages, emails, notices, identity proof, and dated event logs. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Timeline | A usable timeline should list key dates in order with what happened, who acted, and what proof exists for each step. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Witnesses | Witness value improves when each witness is linked to a specific event, date, and observation. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Evidence Quality | Prefer original records, preserve metadata for digital files, and avoid edited screenshots where possible. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Jurisdiction | Check territorial and subject jurisdiction early using location of events, parties, and transaction records. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Limitation | Delay can weaken claims; keep first incident date and latest continuing incident clearly recorded. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Communication | Use clear and factual communication with dates, amounts, and specific requests instead of emotional language. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Drafting Style | Strong legal drafts use neutral tone, chronological facts, numbered points, document references, and precise relief sought. | SaulGPT Expanded Legal Playbook | 2026-03-10
General Intake Playbook - Risk Flags | Risk increases when there is no written agreement, cash-only transactions, missing IDs, or contradictory messages. | SaulGPT Expanded Legal Playbook | 2026-03-10

Property Guide - Ownership Proof | Ownership disputes usually require title chain, registration records, mutation, tax receipts, possession proof, and encumbrance history. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Boundary Dispute | Boundary conflicts are easier to assess with survey maps, measurement records, site photographs, and neighbor statements. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Partition Conflict | Family property partition issues need lineage records, prior partition documents, possession details, and share claims. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Sale Dispute | Property sale disputes often turn on payment trail, agreement terms, possession handover, and registration status. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Builder Delay | Delay in possession should be mapped against promised date, payment schedule, communication trail, and project updates. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Defective Title | Title risk indicators include unclear chain, pending encumbrances, inconsistent area details, and competing ownership claims. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Encroachment | Encroachment analysis needs site map, old survey records, latest measurements, and evidence of interference or obstruction. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Possession Recovery | Possession disputes require proof of prior possession, dispossession timeline, and records showing unauthorized occupation. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Tenant Deposit Dispute | Deposit return disputes are evaluated using move-in condition, move-out condition, deductions proof, and payment communications. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Tenant Eviction Conflict | Eviction disputes typically involve tenancy terms, breach allegations, rent history, and notice communications. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Rent Arrears | Rent arrears claims need month-wise ledger, payment receipts, bank statement correlation, and tenancy period details. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Oral Tenancy | Oral tenancy cases rely heavily on rent payments, utility records, neighborhood evidence, and message history. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Lease Terms | Key lease details include duration, lock-in, deposit terms, maintenance liability, termination process, and penalty clauses. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Title Document Checklist | Common title documents include sale deed, gift deed, partition deed, allotment letter, revenue entries, and mutation extracts. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Mortgage Conflict | Mortgage disputes require loan documents, repayment trail, default communications, and collateral status records. | SaulGPT Property Playbook | 2026-03-10
Property Guide - Co-owner Conflict | Co-owner disputes should track share percentages, possession zones, expense contributions, and rental income accounting. | SaulGPT Property Playbook | 2026-03-10
